Trade Type,Trade ID,Version,SubType,Amended,Status,Book,Broker,Currency,Currency pair,FX Rate,Notional,Customer,Deal ID,Desk,Expiry,External trade ID,Trade,Trade entry,Trader,Bond security ID,Bond Price,Bond mkt type,FairValueLevel,Index
SWAP,17291154N,4,IRSWAP,13/04/2021,Matured,FLEX,,EUR,,,"500,000,000.00",VAR_RENTE,,MARKETMAKING,,,07/01/2021,07/01/2021,ALS,,,,,"EONIA,FIXED"
SWAP,17311129N,4,IRSWAP,20/04/2021,Matured,FLEX,,EUR,,,"500,000,000.00",VAR_RENTE,,MARKETMAKING,,,14/01/2021,14/01/2021,ALS,,,,,"EONIA,FIXED"
SWAP,17405066N1,4,IRSWAP,25/05/2021,Matured,FLEX,,EUR,,,"500,000,000.00",LIK,,MARKETMAKING,,,24/02/2021,24/02/2021,JEPT,,,,,"EONIA,FIXED"
SWAP,17430116N1,3,IRSWAP,04/03/2021,Verified,EURCOV,,EUR,,,"50,000,000.00",SWAPS,,MARKETMAKING,,,04/03/2021,04/03/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17470170N1,3,IRSWAP,18/03/2021,Verified,FLEX,,DKK,,,"100,000,000.00",VAR_RENTE,,MARKETMAKING,,,18/03/2021,18/03/2021,JEPT,,,,,"FIXED,SWAP"
SWAP,17490164N,4,IRSWAP,25/03/2021,Verified,FLEX,,DKK,,,"1,000,000,000.00",STAT,,MARKETMAKING,,,25/03/2021,25/03/2021,JAT,,,,,"FIXED,SW3M"
SWAP,17490164N1,4,IRSWAP,25/03/2021,Verified,STAT,,DKK,,,"1,000,000,000.00",FLEX,,MARKETMAKING,,,25/03/2021,25/03/2021,JAT,,,,,"SW3M,FIXED"
SWAP,17518143N,3,IRSWAP,09/07/2021,Matured,FLEX,,DKK,,,1.00,STAT,,MARKETMAKING,,,07/04/2021,07/04/2021,TTKR,,,,,FIXED
SWAP,17518143N1,3,IRSWAP,09/07/2021,Matured,STAT,,DKK,,,1.00,FLEX,,MARKETMAKING,,,07/04/2021,07/04/2021,TTKR,,,,,FIXED
SWAP,17522160N1,6,IRSWAP,09/07/2021,Matured,FLEX,,EUR,,,"500,000,000.00",VAR_RENTE,,MARKETMAKING,,,08/04/2021,08/04/2021,JEPT,,,,,"EONIA,FIXED"
SWAP,17530106N,2,IRSWAP,12/04/2021,Verified,FLEX,,EUR,,,"400,000,000.00",VAR_RENTE,,MARKETMAKING,,,12/04/2021,12/04/2021,ALS,,,,,"EONIA,FIXED"
SWAP,17538117N,2,IRSWAP,14/04/2021,Verified,FLEX,,EUR,,,"500,000,000.00",VAR_RENTE,,MARKETMAKING,,,14/04/2021,14/04/2021,ALS,,,,,"EONIA,FIXED"
SWAP,17538142N1,4,IRSWAP,14/04/2021,Verified,STAT,,DKK,,,"1,000,000,000.00",SWAPS,,MARKETMAKING,,,14/04/2021,14/04/2021,TTKR,,,,,"SW3M,FIXED"
SWAP,17538143N1,4,IRSWAP,14/04/2021,Verified,STAT,,DKK,,,"1,000,000,000.00",SWAPS,,MARKETMAKING,,,14/04/2021,14/04/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17543152N,2,IRSWAP,15/04/2021,Verified,FLEX,,EUR,,,"500,000,000.00",VAR_RENTE,,MARKETMAKING,,,15/04/2021,15/04/2021,ALS,,,,,"EONIA,FIXED"
SWAP,17543169N1,3,IRSWAP,15/04/2021,Verified,STAT,,EUR,,,"83,200,000.00",SWAPS,,MARKETMAKING,,,15/04/2021,15/04/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17543170N1,3,IRSWAP,15/04/2021,Verified,STAT,,EUR,,,"75,000,000.00",SWAPS,,MARKETMAKING,,,15/04/2021,15/04/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17543175N1,3,IRSWAP,15/04/2021,Verified,STAT,,EUR,,,"75,000,000.00",SWAPS,,MARKETMAKING,,,15/04/2021,15/04/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17543176N1,3,IRSWAP,15/04/2021,Verified,STAT,,EUR,,,"83,200,000.00",SWAPS,,MARKETMAKING,,,15/04/2021,15/04/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17547098N1,4,IRSWAP,16/04/2021,Verified,STAT,,DKK,,,"1,150,000,000.00",SWAPS,,MARKETMAKING,,,16/04/2021,16/04/2021,TTKR,,,,,"SW3M,FIXED"
SWAP,17547099N1,4,IRSWAP,16/04/2021,Verified,STAT,,DKK,,,"1,150,000,000.00",SWAPS,,MARKETMAKING,,,16/04/2021,16/04/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17547100N1,3,IRSWAP,16/04/2021,Verified,STAT,,DKK,,,"575,000,000.00",SWAPS,,MARKETMAKING,,,16/04/2021,16/04/2021,TTKR,,,,,"FIXED,SW3M"
SWAP,17547101N1,3,IRSWAP,16/04/2021,Verified,STAT,,DKK,,,"575,000,000.00",SWAPS,,MARKETMAKING,,,16/04/2021,16/04/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17547102N1,3,IRSWAP,16/04/2021,Verified,STAT,,DKK,,,"600,000,000.00",SWAPS,,MARKETMAKING,,,16/04/2021,16/04/2021,TTKR,,,,,"FIXED,SW3M"
SWAP,17547103N1,3,IRSWAP,16/04/2021,Verified,STAT,,DKK,,,"600,000,000.00",SWAPS,,MARKETMAKING,,,16/04/2021,16/04/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17547105N1,3,IRSWAP,16/04/2021,Verified,STAT,,DKK,,,"135,000,000.00",SWAPS,,MARKETMAKING,,,16/04/2021,16/04/2021,TTKR,,,,,"SW3M,FIXED"
SWAP,17547106N1,3,IRSWAP,16/04/2021,Verified,STAT,,DKK,,,"135,000,000.00",SWAPS,,MARKETMAKING,,,16/04/2021,16/04/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17547107N1,3,IRSWAP,16/04/2021,Verified,STAT,,DKK,,,"450,000,000.00",SWAPS,,MARKETMAKING,,,16/04/2021,16/04/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17547108N1,3,IRSWAP,16/04/2021,Verified,STAT,,DKK,,,"450,000,000.00",SWAPS,,MARKETMAKING,,,16/04/2021,16/04/2021,TTKR,,,,,"FIXED,SW3M"
SWAP,17547109N1,3,IRSWAP,16/04/2021,Verified,STAT,,DKK,,,"185,000,000.00",SWAPS,,MARKETMAKING,,,16/04/2021,16/04/2021,TTKR,,,,,"SW3M,FIXED"
SWAP,17547110N1,3,IRSWAP,16/04/2021,Verified,STAT,,DKK,,,"185,000,000.00",SWAPS,,MARKETMAKING,,,16/04/2021,16/04/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17568123N,3,IRSWAP,23/04/2021,Verified,FLEX,,DKK,,,"100,000,000.00",STAT,,MARKETMAKING,,,23/04/2021,23/04/2021,JAT,,,,,"FIXED,SWAP"
SWAP,17568123N1,3,IRSWAP,23/04/2021,Verified,STAT,,DKK,,,"100,000,000.00",FLEX,,MARKETMAKING,,,23/04/2021,23/04/2021,JAT,,,,,"SWAP,FIXED"
SWAP,17568124N,3,IRSWAP,23/04/2021,Verified,FLEX,,EUR,,,"13,500,000.00",STAT,,MARKETMAKING,,,23/04/2021,23/04/2021,JAT,,,,,"SWAP,FIXED"
SWAP,17568124N1,3,IRSWAP,23/04/2021,Verified,STAT,,EUR,,,"13,500,000.00",FLEX,,MARKETMAKING,,,23/04/2021,23/04/2021,JAT,,,,,"FIXED,SWAP"
SWAP,17576056N,3,IRSWAP,27/04/2021,Verified,FLEX,,DKK,,,"250,000,000.00",STAT,,MARKETMAKING,,,27/04/2021,27/04/2021,JAT,,,,,"FIXED,SWAP"
SWAP,17576056N1,3,IRSWAP,27/04/2021,Verified,STAT,,DKK,,,"250,000,000.00",FLEX,,MARKETMAKING,,,27/04/2021,27/04/2021,JAT,,,,,"SWAP,FIXED"
SWAP,17576057N,3,IRSWAP,27/04/2021,Verified,FLEX,,EUR,,,"33,600,000.00",STAT,,MARKETMAKING,,,27/04/2021,27/04/2021,JAT,,,,,"SWAP,FIXED"
SWAP,17576057N1,3,IRSWAP,27/04/2021,Verified,STAT,,EUR,,,"33,600,000.00",FLEX,,MARKETMAKING,,,27/04/2021,27/04/2021,JAT,,,,,"FIXED,SWAP"
SWAP,17603221N1,3,IRSWAP,06/05/2021,Verified,STAT,,EUR,,,"24,200,000.00",SWAPS,,MARKETMAKING,,,06/05/2021,06/05/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17603222N1,3,IRSWAP,06/05/2021,Verified,STAT,,EUR,,,"33,200,000.00",SWAPS,,MARKETMAKING,,,06/05/2021,06/05/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17603225N1,3,IRSWAP,06/05/2021,Verified,STAT,,EUR,,,"24,200,000.00",SWAPS,,MARKETMAKING,,,06/05/2021,06/05/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17603226N1,3,IRSWAP,06/05/2021,Verified,STAT,,EUR,,,"33,200,000.00",SWAPS,,MARKETMAKING,,,06/05/2021,06/05/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17625128N1,3,IRSWAP,17/05/2021,Verified,STAT,,EUR,,,"100,000,000.00",SWAPS,,MARKETMAKING,,,17/05/2021,17/05/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17625129N1,3,IRSWAP,17/05/2021,Verified,STAT,,EUR,,,"110,943,000.00",SWAPS,,MARKETMAKING,,,17/05/2021,17/05/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17625152N1,3,IRSWAP,17/05/2021,Verified,STAT,,EUR,,,"55,464,000.00",SWAPS,,MARKETMAKING,,,17/05/2021,17/05/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17625153N1,3,IRSWAP,17/05/2021,Verified,STAT,,EUR,,,"50,000,000.00",SWAPS,,MARKETMAKING,,,17/05/2021,17/05/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17629096N1,3,IRSWAP,18/05/2021,Verified,STAT,,EUR,,,"50,000,000.00",SWAPS,,MARKETMAKING,,,18/05/2021,18/05/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17629097N1,3,IRSWAP,18/05/2021,Verified,STAT,,EUR,,,"55,480,000.00",SWAPS,,MARKETMAKING,,,18/05/2021,18/05/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17629102N1,3,IRSWAP,18/05/2021,Verified,STAT,,EUR,,,"50,000,000.00",SWAPS,,MARKETMAKING,,,18/05/2021,18/05/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17629103N1,3,IRSWAP,18/05/2021,Verified,STAT,,EUR,,,"55,480,000.00",SWAPS,,MARKETMAKING,,,18/05/2021,18/05/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17629403N1,3,IRSWAP,18/05/2021,Verified,STAT,,EUR,,,"54,000,000.00",SWAPS,,MARKETMAKING,,,18/05/2021,18/05/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17629404N1,3,IRSWAP,18/05/2021,Verified,STAT,,DKK,,,"400,000,000.00",SWAPS,,MARKETMAKING,,,18/05/2021,18/05/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17629405N1,3,IRSWAP,18/05/2021,Verified,STAT,,EUR,,,"60,000,000.00",SWAPS,,MARKETMAKING,,,18/05/2021,18/05/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17629406N1,3,IRSWAP,18/05/2021,Verified,STAT,,DKK,,,"444,000,000.00",SWAPS,,MARKETMAKING,,,18/05/2021,18/05/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17637211N1,3,IRSWAP,20/05/2021,Verified,STAT,,DKK,,,"150,000,000.00",SWAPS,,MARKETMAKING,,,20/05/2021,20/05/2021,TTKR,,,,,"SWAP,FIXED"
SWAP,17637212N1,3,IRSWAP,20/05/2021,Verified,STAT,,EUR,,,"20,200,000.00",SWAPS,,MARKETMAKING,,,20/05/2021,20/05/2021,TTKR,,,,,"FIXED,SWAP"
SWAP,17670247N,6,IRSWAP,03/06/2021,Cancelled,FLEX,,DKK,,,"1,000,000,000.00",SBNX,,MARKETMAKING,,,02/06/2021,02/06/2021,ALS,,,,,"TNIRS,FIXED"
SWAP,17713127N1,3,IRSWAP,18/06/2021,Verified,FLEX,,DKK,,,"80,000,000.00",VAR_RENTE,,MARKETMAKING,,,18/06/2021,18/06/2021,JEPT,,,,,"FIXED,SWAP"
SWAP,17742220N,2,IRSWAP,08/07/2021,Verified,FLEX,,EUR,,,"500,000,000.00",VAR_RENTE,,MARKETMAKING,,,08/07/2021,08/07/2021,ALS,,,,,"EONIA,FIXED"
FUT,0002131660,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,08/01/2021,08/01/2021,AXKR,,,,,
FUT,0002132663,3,,10/03/2021,Mature,REAL,,EUR,,,,,,MARKETMAKING,,,11/01/2021,11/01/2021,AXKR,,,,,
FUT,0002132664,3,,10/03/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,11/01/2021,11/01/2021,AXKR,,,,,
FUT,0002141670,3,,10/03/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,22/01/2021,22/01/2021,AXKR,,,,,
FUT,0002150662,3,,31/03/2021,Mature,FLEX,,DKK,,,,,,MARKETMAKING,,,04/02/2021,04/02/2021,ALS,,,,,
FUT,0002151680,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,05/02/2021,05/02/2021,HRG,,,,,
FUT,0002152669,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,08/02/2021,08/02/2021,AXKR,,,,,
FUT,0002153659,3,,10/03/2021,Mature,FLEX,,EUR,,,,,,MARKETMAKING,,,09/02/2021,09/02/2021,ALS,,,,,
FUT,0002153660,3,,10/03/2021,Mature,REAL,,EUR,,,,,,MARKETMAKING,,,09/02/2021,09/02/2021,ALS,,,,,
FUT,0002157663,5,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,15/02/2021,15/02/2021,JAT,,,,,
FUT,0002158668,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,16/02/2021,16/02/2021,AXKR,,,,,
FUT,0002161664,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,19/02/2021,19/02/2021,AXKR,,,,,
FUT,0002161665,5,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,19/02/2021,19/02/2021,AXKR,,,,,
FUT,0002162660,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,22/02/2021,22/02/2021,AXKR,,,,,
FUT,0002163659,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,23/02/2021,23/02/2021,JAT,,,,,
FUT,0002163668,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,23/02/2021,23/02/2021,AXKR,,,,,
FUT,0002164659,3,,31/03/2021,Mature,FLEX,,DKK,,,,,,MARKETMAKING,,,24/02/2021,24/02/2021,JAT,,,,,
FUT,0002164662,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,24/02/2021,24/02/2021,AXKR,,,,,
FUT,0002165662,3,,31/03/2021,Mature,FLEX,,DKK,,,,,,MARKETMAKING,,,25/02/2021,25/02/2021,JAT,,,,,
FUT,0002165669,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,25/02/2021,25/02/2021,AXKR,,,,,
FUT,0002165671,3,,31/03/2021,Mature,FLEX,,DKK,,,,,,MARKETMAKING,,,25/02/2021,25/02/2021,JAT,,,,,
FUT,0002166692,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,26/02/2021,26/02/2021,AXKR,,,,,
FUT,0002167671,3,,31/03/2021,Mature,FLEX,,DKK,,,,,,MARKETMAKING,,,01/03/2021,01/03/2021,JAT,,,,,
FUT,0002170661,3,,10/03/2021,Mature,REAL,,EUR,,,,,,MARKETMAKING,,,03/03/2021,04/03/2021,AXKR,,,,,
FUT,0002170662,3,,10/03/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,03/03/2021,04/03/2021,HRG,,,,,
FUT,0002170663,3,,10/06/2021,Mature,REAL,,EUR,,,,,,MARKETMAKING,,,03/03/2021,04/03/2021,AXKR,,,,,
FUT,0002170664,3,,10/06/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,03/03/2021,04/03/2021,HRG,,,,,
FUT,0002171668,5,,10/03/2021,Mature,REAL,,EUR,,,,,,MARKETMAKING,,,04/03/2021,05/03/2021,AXKR,,,,,
FUT,0002171669,3,,10/03/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,04/03/2021,05/03/2021,HRG,,,,,
FUT,0002171670,3,,10/06/2021,Mature,REAL,,EUR,,,,,,MARKETMAKING,,,04/03/2021,05/03/2021,AXKR,,,,,
FUT,0002171671,3,,10/06/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,04/03/2021,05/03/2021,HRG,,,,,
FUT,0002171717,3,,31/03/2021,Mature,FLEX,,DKK,,,,,,MARKETMAKING,,,05/03/2021,05/03/2021,AXKR,,,,,
FUT,0002176675,3,,10/06/2021,Mature,FLEX,,EUR,,,,,,MARKETMAKING,,,11/03/2021,11/03/2021,JAT,,,,,
FUT,0002176681,3,,30/06/2021,Mature,FLEX,,DKK,,,,,,MARKETMAKING,,,11/03/2021,11/03/2021,JAT,,,,,
FUT,0002181660,3,,10/06/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,17/03/2021,17/03/2021,AXKR,,,,,
FUT,0002181664,3,,30/06/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,17/03/2021,17/03/2021,AXKR,,,,,
FUT,0002181670,5,,30/06/2021,Mature,FLEX,,DKK,,,,,,MARKETMAKING,,,17/03/2021,17/03/2021,JAT,,,,,
FUT,0002182665,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,18/03/2021,18/03/2021,AXKR,,,,,
FUT,0002183678,3,,30/06/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,19/03/2021,19/03/2021,AXKR,,,,,
FUT,0002183679,5,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,19/03/2021,19/03/2021,AXKR,,,,,
FUT,0002187668,3,,10/06/2021,Mature,FLEX,,EUR,,,,,,MARKETMAKING,,,25/03/2021,25/03/2021,ALS,,,,,
FUT,0002187669,3,,10/06/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,25/03/2021,25/03/2021,ALS,,,,,
FUT,0002187670,4,,25/03/2021,Cancelled,STAT,,EUR,,,,,,MARKETMAKING,,,25/03/2021,25/03/2021,ALHA,,,,,
FUT,0002188659,3,,31/03/2021,Mature,FLEX,,DKK,,,,,,MARKETMAKING,,,26/03/2021,26/03/2021,JAT,,,,,
FUT,0002188661,3,,10/06/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,26/03/2021,26/03/2021,AXKR,,,,,
FUT,0002189670,3,,10/06/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,29/03/2021,29/03/2021,AXKR,,,,,
FUT,0002190670,3,,31/03/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,30/03/2021,30/03/2021,AXKR,,,,,
FUT,0002190672,3,,31/03/2021,Mature,FLEX,,DKK,,,,,,MARKETMAKING,,,30/03/2021,30/03/2021,JAT,,,,,
FUT,0002193679,3,,10/06/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,07/04/2021,07/04/2021,AXKR,,,,,
FUT,0002193683,3,,10/06/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,07/04/2021,07/04/2021,AXKR,,,,,
FUT,0002194667,3,,10/06/2021,Mature,REAL,,EUR,,,,,,MARKETMAKING,,,08/04/2021,08/04/2021,AXKR,,,,,
FUT,0002194668,3,,10/06/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,08/04/2021,08/04/2021,AXKR,,,,,
FUT,0002195663,3,,10/06/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,09/04/2021,09/04/2021,AXKR,,,,,
FUT,0002197666,3,,30/06/2021,Mature,FLEX,,DKK,,,,,,MARKETMAKING,,,13/04/2021,13/04/2021,JAT,,,,,
FUT,0002197676,3,,30/06/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,13/04/2021,13/04/2021,AXKR,,,,,
FUT,0002200672,5,,10/06/2021,Mature,STAT,CS,EUR,,,,CS,,MARKETMAKING,,,16/04/2021,16/04/2021,AXKR,,,,,
FUT,0002200673,5,,10/06/2021,Mature,REAL,CS,EUR,,,,CS,,MARKETMAKING,,,16/04/2021,16/04/2021,AXKR,,,,,
FUT,0002201666,3,,10/06/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,19/04/2021,19/04/2021,AXKR,,,,,
FUT,0002201669,5,,10/06/2021,Mature,FLEX,,EUR,,,,,,MARKETMAKING,,,19/04/2021,19/04/2021,JAT,,,,,
FUT,0002205678,5,,10/06/2021,Mature,FLEX,CS,EUR,,,,CS,,MARKETMAKING,,,23/04/2021,23/04/2021,JAT,,,,,
FUT,0002206665,3,,30/06/2021,Mature,REAL,,DKK,,,,,,MARKETMAKING,,,26/04/2021,26/04/2021,AXKR,,,,,
FUT,0002207671,3,,10/06/2021,Mature,FLEX,,EUR,,,,,,MARKETMAKING,,,27/04/2021,27/04/2021,JAT,,,,,
FUT,0002207673,3,,10/06/2021,Mature,FLEX,,EUR,,,,,,MARKETMAKING,,,27/04/2021,27/04/2021,JAT,,,,,
FUT,0002209672,3,,10/06/2021,Mature,STAT,,EUR,,,,,,MARKETMAKING,,,29/04/2021,29/04/2021,JPED,,,,,
