TRADEID,TRADETYPE,ASSETID,PAYREC,FIXFLT,STARTDATE,ENDDATE,FIXINGDATE,IDAYS,RATE,FORWARD,SPREAD,ALLINRATE,NOTIONAL,PAYDATE,FLOWS,TRANSACTION_TYPE,DAYS,CCY,ZERO,DISCOUNT,PRESENTVALUE,ASOFDATE
3842810,FXFWD,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),30/09/2020,8905784.62,XNL,(null),SEK,(null),(null),(null),20/08/2020
3842810,FXFWD,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),30/09/2020,-862450,XNL,(null),EUR,(null),(null),(null),20/08/2020
3842887,FXFWD,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),30/09/2020,25184317.67,XNL,(null),SEK,(null),(null),(null),20/08/2020
3842887,FXFWD,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),30/09/2020,-2438750,XNL,(null),EUR,(null),(null),(null),20/08/2020
3927667,FXFWD,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),15/12/2020,4000000,XNL,(null),USD,(null),(null),(null),20/08/2020
3927667,FXFWD,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),15/12/2020,-24458644,XNL,(null),DKK,(null),(null),(null),20/08/2020
3927670,FXFWD,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),15/12/2020,24494804,XNL,(null),DKK,(null),(null),(null),20/08/2020
3927670,FXFWD,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),15/12/2020,-4000000,XNL,(null),USD,(null),(null),(null),20/08/2020
3977822,FXSWAP,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),29/01/2021,-252249.14,XNL,(null),SEK,(null),(null),(null),20/08/2020
3875143,FXSWAP,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),30/10/2020,1451473,XNL,(null),EUR,(null),(null),(null),20/08/2020
3875143,FXSWAP,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),30/10/2020,-14967843.58,XNL,(null),SEK,(null),(null),(null),20/08/2020
3977822,FXSWAP,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),29/01/2021,645500,XNL,(null),CZK,(null),(null),(null),20/08/2020
3979715,FXSWAP,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),30/12/2020,71318900,XNL,(null),DKK,(null),(null),(null),20/08/2020
3979715,FXSWAP,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),30/12/2020,-100000000,XNL,(null),SEK,(null),(null),(null),20/08/2020
3979925,FXFWD,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),30/10/2020,87504,XNL,(null),GBP,(null),(null),(null),20/08/2020
3979925,FXFWD,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),30/10/2020,-1024582.59,XNL,(null),SEK,(null),(null),(null),20/08/2020
3979926,FXFWD,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),29/01/2021,87504,XNL,(null),GBP,(null),(null),(null),20/08/2020
3979926,FXFWD,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),29/01/2021,-1021956.88,XNL,(null),SEK,(null),(null),(null),20/08/2020
3989521,FXSWAP,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),29/01/2021,486541.44,XNL,(null),CZK,(null),(null),(null),20/08/2020
3989521,FXSWAP,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),29/01/2021,-191527.52,XNL,(null),SEK,(null),(null),(null),20/08/2020
