Trade Type;Trade ID;Version;SubType;Amended;Status;Book;Broker;Currency;Currency pair;Collateral;Company;Customer;Deal ID;Desk;Expiry;External trade ID;Memo;Notional;Portfolio;Security ID;Security sub type;Security type;Structure ID;Trade;Trade entry;Trader;P or S
SWAP;16307076N;2;IRSWAP;15-01-2020;Verified;FLEX;;EUR;;N;NYK_MARKETS;VAR_RENTE;;MARKETMAKING;;; .;150.000.000,00;;;;;;15-01-2020;15-01-2020;ALS;P
SWAP;16320276N;2;IRSWAP;20-01-2020;Verified;SWAPS;PHONE;DKK;;Y;NYK_MARKETS;JESPER_SO;;DERIVATER;;; .;9.181.036,00;;;;;;20-01-2020;20-01-2020;ANSO;P
SWAP;16458123N;2;IRSWAP;12-03-2020;Verified;SWAPS;PHONE;DKK;;Y;NYK_MARKETS;BRIBO;;DERIVATER;;; .;2.575.000,00;;;;;;12-03-2020;11-03-2020;ANSO;P
SWAP;16462420N;2;IRSWAP;13-03-2020;Verified;FLEX;;EUR;;N;NYK_MARKETS;VAR_RENTE;;MARKETMAKING;;; .;250.000.000,00;;;;;;13-03-2020;13-03-2020;ALS;P
SWAP;16504096N;2;IRSWAP;27-03-2020;Verified;SWAPS;PHONE;DKK;;Y;NYK_MARKETS;STEENHOLT_I;;DERIVATER;;; .;9.441.168,00;;;;;;27-03-2020;27-03-2020;ANSO;P
SWAP;16570135N;2;IRSWAP;23-04-2020;Verified;FLEX;;EUR;;N;NYK_MARKETS;VAR_RENTE;;MARKETMAKING;;; .;500.000.000,00;;;;;;23-04-2020;23-04-2020;ALS;P
SWAP;16586306N;2;IRSWAP;29-04-2020;Verified;FLEX;;EUR;;N;NYK_MARKETS;VAR_RENTE;;MARKETMAKING;;; .;500.000.000,00;;;;;;29-04-2020;29-04-2020;ALS;P
SWAP;16632093N;2;IRSWAP;15-05-2020;Verified;SWAPS;PHONE;DKK;;Y;NYK_MARKETS;IJ_EJD_AALB;;DERIVATER;;; .;15.000.000,00;;;;;;15-05-2020;15-05-2020;ANSO;P
SWAP;16640098N;2;IRSWAP;19-05-2020;Verified;FLEX;;EUR;;N;NYK_MARKETS;VAR_RENTE;;MARKETMAKING;;; .;200.000.000,00;;;;;;19-05-2020;19-05-2020;ALS;P
FUT;0001920667;2;;03-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000157JQ; .RXM0 Comdty.EUREX.M.2020;;;;;;;03-03-2020;03-03-2020;JPED;P
FUT;0001920673;2;;03-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000157M7; .RXM0 Comdty.EUREX.M.2020;;;;;;;03-03-2020;03-03-2020;JPED;P
FUT;0001920714;2;;03-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000157YW; .RXM0 Comdty.EUREX.M.2020;;;;;;;03-03-2020;03-03-2020;JPED;S
FUT;0001920716;2;;03-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000157Z3; .RXM0 Comdty.EUREX.M.2020;;;;;;;03-03-2020;03-03-2020;JPED;S
FUT;0001920723;2;;03-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;00015871; .RXM0 Comdty.EUREX.M.2020;;;;;;;03-03-2020;03-03-2020;JPED;S
FUT;0001920725;2;;03-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;00015883; .RXM0 Comdty.EUREX.M.2020;;;;;;;03-03-2020;03-03-2020;JPED;P
FUT;0001920726;2;;03-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;00015884; .RXM0 Comdty.EUREX.M.2020;;;;;;;03-03-2020;03-03-2020;JPED;P
FUT;0001921663;2;;04-03-2020;Verified;FLEX;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000158J9; .DUM0 Comdty.EUREX.M.2020;;;;;;;04-03-2020;04-03-2020;JAT;S
FUT;0001921665;2;;04-03-2020;Verified;FLEX;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000158JC; .OEM0 Comdty.EUREX.M.2020;;;;;;;04-03-2020;04-03-2020;JAT;P
FUT;0001921667;2;;04-03-2020;Verified;FLEX;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000158JF; .RXM0 Comdty.EUREX.M.2020;;;;;;;04-03-2020;04-03-2020;JAT;S
FUT;0001921668;2;;04-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000158JX; .RXM0 Comdty.EUREX.M.2020;;;;;;;04-03-2020;04-03-2020;JPED;S
FUT;0001921669;2;;04-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000158JY; .RXM0 Comdty.EUREX.M.2020;;;;;;;04-03-2020;04-03-2020;JPED;S
FUT;0001921670;2;;04-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000158KC; .RXM0 Comdty.EUREX.M.2020;;;;;;;04-03-2020;04-03-2020;JPED;S
FUT;0001921674;2;;04-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000158P3; .RXM0 Comdty.EUREX.M.2020;;;;;;;04-03-2020;04-03-2020;JPED;S
FUT;0001921675;2;;04-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000158P4; .RXM0 Comdty.EUREX.M.2020;;;;;;;04-03-2020;04-03-2020;JPED;S
FUT;0001921676;2;;04-03-2020;Verified;REAL;CS;EUR;;N;NYK_MARKETS;CS;NOTICKET;MARKETMAKING;;000158Q0; .RXM0 Comdty.EUREX.M.2020;;;;;;;04-03-2020;04-03-2020;JPED;S
