Trade Type,Trade ID,Version,SubType,Amended,Status,Book,Broker,Currency,Currency pair,FX Rate,Notional,Customer,Deal ID,Desk,Expiry,External trade ID,Trade,Trade entry,Trader,Bond security type,Security ID,Bond security ID,BO Product Ref,cProductCategory,cProductSubType,Equity ID,External Id Type,External Id,External product,Identifier
BOND,0015251305,3,,06/01/2020,Verified,STAT,,DKK,,,"75,000,000.00",B_SAMPENS_KP,,MARKETMAKING,,00013604,02/01/2020,02/01/2020,ALS,,DGB1.5_11/15/23,,,,,,,,,992305
BOND,0015251306,3,,06/01/2020,Verified,REAL,,DKK,,,"20,200,000.00",BC_DIT,,MARKETMAKING,,00013605,02/01/2020,02/01/2020,JPED,,1NYK1.01EDA50,,,,,,,,,952443
BOND,0015251307,3,,06/01/2020,Verified,STAT,,DKK,,,"65,000,000.00",B_SAMPENS_KP,,MARKETMAKING,,0001360D,02/01/2020,02/01/2020,ALS,,DGB1.75_11/15/25,,,,,,,,,992313
BOND,0015251310,3,,06/01/2020,Verified,ILLIKVID,,DKK,,,"50,214.94",DEX_LUX,,MARKETMAKING,,00013611,02/01/2020,02/01/2020,UFFE,,3.5NYK01EDA_44,,,,,,,,,978744
BOND,0015251311,3,,06/01/2020,Verified,FLEX,,DKK,,,"150,000,000.00",CITIGROUP_GL,IDEAS,MARKETMAKING,,00013613,02/01/2020,02/01/2020,MOEN,,DGB3_11/15/21,,,,,,,,,992267
BOND,0015251312,3,,06/01/2020,Verified,REAL,,DKK,,,"150,000,000.00",NAM,IDEAS,MARKETMAKING,,00013614,02/01/2020,02/01/2020,LCA,,DLRKRE1_10/01/50,,,,,,,,,634816
BOND,0015251313,3,,06/01/2020,Verified,ILLIKVID,,DKK,,,"51,786.50",DEX_LUX,,MARKETMAKING,,00013615,02/01/2020,02/01/2020,UFFE,,3NDEAOA10_44,,,,,,,,,202819
BOND,0015251314,3,,06/01/2020,Verified,ILLIKVID,,DKK,,,"107,704.43",DEX_LUX,,MARKETMAKING,,00013616,02/01/2020,02/01/2020,UFFE,,3.5NYK01EDA_44,,,,,,,,,978744
BOND,0015251315,4,,06/01/2020,Verified,FLEX,,DKK,,,"207,920,000.00",INT_IDEAS,IDEAS,MARKETMAKING,,00013617,02/01/2020,02/01/2020,ALS,,DGB1.5_11/15/23,,,,,,,,,992305
BOND,0015251316,4,,06/01/2020,Verified,STAT,,DKK,,,"207,920,000.00",INT_IDEAS,IDEAS,MARKETMAKING,,00013618,02/01/2020,02/01/2020,ALS,,DGB1.5_11/15/23,,,,,,,,,992305
BOND,0015251317,3,,06/01/2020,Verified,REAL,,DKK,,,"100,000,000.00",NAM,IDEAS,MARKETMAKING,,00013619,02/01/2020,02/01/2020,LCA,,NYKRE0.5_10/01/40,,,,,,,,,952435
BOND,0015251325,3,,06/01/2020,Verified,ILLIKVID,,DKK,,,"337,407,786.10",NYKREDIT_A_S,IDEAS,MARKETMAKING,,0001361L,02/01/2020,02/01/2020,MOEN,,2NYKSDO_10/01/47,,,,,,,,,950416
BOND,0015251330,3,,02/01/2020,Verified,STAT,,DKK,,,"4,500,000.00",NAM,IDEAS,MARKETMAKING,,0001362T,02/01/2020,02/01/2020,OVIX,,DGB4.5_11/15/39,,,,,,,,,992232
BOND,0015251331,3,,06/01/2020,Verified,STAT,,DKK,,,"25,000,000.00",BNPP_MTS,,MARKETMAKING,,0001362V,02/01/2020,02/01/2020,SRK,,DGB0.5_11/15/27,,,,,,,,,992356
BOND,0015251332,3,,06/01/2020,Verified,REAL,,DKK,,,"9,780,000.00",FORV_LOK_PEN,IDEAS,MARKETMAKING,,0001362Y,02/01/2020,02/01/2020,LCA,,NYKRED1.5_10/01/50,,,,,,,,,952125
